No,Control Short,Duration,To Do,Evidence
1,Update all the policy into keka and get acknowledgement from the employees.,Annually,Update all the policy into keka and get acknowledgement from the employees.,All policy in keka
2,Code of Conduct,,"It will be verified, whether it is in place or not.",Employee handbook and acknowledged employee handbook
3,Signed NDA,Regular,"New employees are expected to sign NDA before joining. It will be verified based on the new employees list, ask any one of the employee's NDA agreement.","appointment letter, new joiners list from keka, consultant agreement"
4,Acceptable Use policy,Annually,Employee's expected to acknowledge AUP policy during the onboarding process.,Acknowledged Acceptable use policy list
5,Complaints and Feedback,,"Employee's will share their complaints and feedback through keka, and clients will share it through mail",
6,MRM_CISO Meetings,Half yearly/Quarterly,"A MRM meeting has to be held headed by CEO to discuss the security level, changes, technology trends, occurrence of incidents, and security initiatives (06 months once)","Security review meeting invite, DAST pdf"
7,Business meetings,weekly,Business meetings has to be recorded in terms of invite and minutes on a routine basis (per week once minimum),BA meeting email snapshot
8,Organisation Charts,Regular,"Charts need to be updated, once any new employee joined.(based on the employee role). These charts are expected to communicate with the employees as well (Keka)","Org chart document snapshot, Organisation chart from keka"
9,ISMS Policy,Annually,Its need to be update annually or when relevant. Need to get approval if changes were made in the policy.,
10,CISO Responsibilities,,Inspected CISO responsibilities to determine that Information Security activities are included.,"Org chart document snapshot, CISO job description"
11,Key roles and responsibilities,Regular,"Based on organization chart, job descriptions for all critical functions willl be validated whether the responsibilities, reporting lines and communication mechanism are clearly defined.","Org chart document snapshot, Full Stack python jd, aws certified engineer- jd, oscp- jd"
12,HR Policies,Annually,"It will be verified, whether it is documented or not.","Snapshot of attached policies in keka, employee handbook"
13,JD in place,Regular,a sample of job description to determined that requirements for each role are documented and are evaluated as part of the hiring process.,"New joiner lists from keka, aws certified engineer -jd, full stack python developer jd, Mobile application developer-flutter JD, Senior React.js Front-end developer, oscp jd"
14,Offer letter & Appointment letter,Regular,New employees appointment letter - signed has to be collected and maintained.,"New joiners lists from keka, appointment letter"
15,Manpower planning,Weekly/Monthly,Meetings has to be conducted periodically for planning the resources. (Meeting minutes & invite),Team Review discussion - meet invite
16,External BGV,Regular,New joiners BGV reports will be verified.,"New joiner lists from keka, BGV initiation email, BGV evidence tracker, BGV report"
17,New Hire Functional Training,Regular,"Attendance log for training, resource document or pdf, periodic training calendar.","New joiner lists from keka, HR induction session pdf, attendance log of training"
18,ISMS Training,Regular,"Attendance log for training, resource document or pdf, periodic training calendar.","New joiner lists from keka, Training video, HR induction session pdf, periodic training calendar, attendance log(form response)"
19,Refresher Training on ISMS,Annually,Information security training has to conducted atleast yearly once. (attendance),"Training calendar, Security Awareness Form screenshots, form response screenshots"
20,Training Calendar,,Have to draft a training calendar or 2026,Training calendar
21,Roles and Responsibilities,Regular,"In job descriptions, roles and responsibilities is expected to be mentioned.","Senior React.js Frontend Developer - JD, AWS Certified Engineers - JD, Full Stack python developer JD, Mobile Application Developer - Flutter JD"
22,Performance Appraisals,Annually,performance appraisals has to be there atleast annually (Evidence - Keka),Appraisal letter dashboard screenshot from keka
23,System Access Review,Monthly,"Based on hr records, system access will be reviewed by the IT team on monthly basis","Redacted - All employee list with their working status, System Access Review Verification Email"
24,Network Diagram,,Already have it.,
25,Client Escalation matrix,,,Attached Email Snapshot of Escalation contacts.
26,Client Contracts with Confidentiality Clause,Regular,It determins that terms related to delivery of services such as availability and confidentiality are covered in contracts. It will be verified.,Attached HD service agreement
27,Complaints,Regular,Employees should raise an issue only through keka helpdesk. Complaints fromt the clients are expected to be sent through mail.,"All keka tickets(Excel), Roots email snapshot (complaint from customer)"
28,Changes to system boundaries,Regular,Any changes in the system will be communicated internally and externally by CISO,
29,Reporting of incidents to external users,Regular,Incident reporting emails from clients/external users will be validated.,Email snapshot of incident - ( 09 Dec 2025)
30,Risk Management Policy,,policy in place -> Have to maintain risk register,No evidence attached
31,Risk Assessment,Annually,"Risk assessment conducted annually on assets, threats to security are identified and assessed. Also, consider emerging technologies and system changes when performing risk assessment.",No evidence attached
32,Ratings of risks,,"Ratings are expected to be there in risk assessment report (impact, likelihood, risk)",No evidence attached
33,Privacy in risk register,,Threats related to privacy also be included in the risk assessment report(risk register),No evidence attached
34,Patch Management,Regular,"AWS inspector - regular patch update evidence. If possible, have to fiind a way to update windows directly through AD",AWS - patch manager dashboard screenshot
35,Review of incidents in committee meetings,Regular - meeting monthly,attached security incident tickets in keka and have to conduct meet with management have discussion about the incidents periodically,"Security incident tickets - keka(Excel), security incident meeting invite"
36,Firewall logs,Monthly,Log review conducted monthly by it team and get approval from CISO.,"Firewall rules screenshot, meraki november logs, Firewall review email"
37,Closure of VAPT Gaps,Regular,Done internally on applications (reports),No evidence attached
38,Segregration of duties,,,No evidence attached
